MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS,BOROUGH_ID
2020 / 05,Brooklyn,07,3395.3,415.9,440.0,1.3,,,,3
2020 / 08,Brooklyn,07,3722.6,424.6,457.7,,,,,3
2020 / 03,Brooklyn,07,3052.6,421.9,425.8,57.1,68.5,,,3
2020 / 07,Staten Island,03,6772.4,900.7,960.4,,,,,5
2020 / 12,Queens,05,5191.7,794.5,918.7,,,,,4
2020 / 07,Brooklyn,18,6732.9,679.8,857.7,,,,,3
2020 / 05,Queens,13,6563.7,474.0,1065.8,19.3,,,,4
2020 / 09,Queens,13,6561.8,520.0,985.4,,,,,4
2021 / 03,Queens,13,5638.9,455.7,950.8,,,,,4
2020 / 05,Staten Island,01,6495.4,651.4,925.8,12.3,,,,5
2021 / 02,Staten Island,01,4009.7,480.9,563.4,,,,,5
2020 / 04,Queens,01,3888.5,607.4,768.9,,,,,4
2020 / 11,Queens,01,4221.7,641.8,657.0,,,,,4
2020 / 01,Queens,01,3935.7,662.1,696.1,,,,42.0,4
2021 / 03,Queens,01,4285.6,669.3,714.4,,,,,4
2020 / 07,Brooklyn,15,4937.5,599.2,598.6,,,,,3
2020 / 07,Queens,09,4904.7,517.0,770.5,,,,,4
2020 / 02,Brooklyn,05,3871.4,212.0,343.6,,,,,3
2021 / 02,Brooklyn,05,3980.1,237.7,349.4,,,,,3
2020 / 04,Brooklyn,06,1865.0,500.2,479.3,105.5,,,,3
2020 / 06,Brooklyn,06,2357.8,544.4,488.0,,,,,3
2020 / 04,Queens,03,4465.5,335.6,567.5,,,,,4
2020 / 11,Bronx,12,4292.3,386.7,572.6,,,,,2
2021 / 01,Bronx,12,3697.3,418.6,625.2,,,3.4,8.1,2
2020 / 12,Bronx,12,4174.0,488.3,684.6,,,,,2
2020 / 01,Staten Island,02,3946.9,586.0,534.8,,46.2,,26.7,5
2020 / 08,Staten Island,02,5021.5,533.7,710.5,,,,,5
2020 / 11,Queens,07,7212.0,760.5,760.6,,,,,4
2021 / 02,Queens,07,5389.6,665.2,659.7,,,,,4
2020 / 12,Queens,07,6902.1,949.7,896.9,,,,,4
2020 / 02,Brooklyn,14,4062.5,429.5,360.5,,58.4,,,3
2020 / 08,Brooklyn,14,5137.8,474.8,506.7,,,,,3
2020 / 09,Brooklyn,13,2349.3,204.3,261.1,,,,,3
2021 / 01,Brooklyn,13,2035.1,207.3,260.1,,,,3.7,3
2020 / 01,Queens,02,2927.0,461.1,438.2,75.0,66.8,,22.8,4
2021 / 02,Queens,02,2648.2,392.1,386.2,,,,,4
2020 / 06,Queens,04,4630.9,402.8,573.4,,,,,4
2020 / 11,Queens,04,4148.6,335.9,546.4,,,,,4
2020 / 03,Queens,04,3948.8,315.7,428.0,,,,,4
2020 / 11,Brooklyn,12,6513.2,655.3,359.1,,,,,3
2021 / 02,Brooklyn,12,5808.0,634.2,355.2,,,,,3
2020 / 02,Queens,14,2367.0,212.7,234.0,49.8,,,,4
2020 / 01,Brooklyn,02,2450.4,582.7,463.8,80.7,42.1,,52.5,3
2020 / 04,Brooklyn,02,2007.9,450.1,466.0,81.2,,,,3
2020 / 11,Brooklyn,02,2638.5,500.7,422.8,,,,,3
2020 / 02,Brooklyn,02,2255.0,479.1,382.4,62.0,27.6,,,3
2021 / 04,Brooklyn,02,655.0,135.2,107.1,,,,,3
2020 / 08,Bronx,11,3655.9,281.5,468.0,,,,,2
2020 / 09,Bronx,11,3443.4,281.5,447.6,,,,,2
2020 / 06,Bronx,11,3745.5,345.4,521.1,,,,,2
2020 / 03,Queens,11,2685.3,459.8,468.4,137.6,38.7,,,4
2021 / 01,Queens,11,2700.7,478.2,463.9,,,,18.0,4
2021 / 04,Queens,11,750.7,105.2,109.8,,,,,4
2021 / 02,Queens,08,2949.3,383.2,358.1,,,,,4
2021 / 01,Queens,08,3487.0,477.6,433.2,,,3.8,7.2,4
2020 / 07,Brooklyn,10,3906.2,532.2,555.0,,,,,3
2020 / 08,Brooklyn,10,3815.1,484.6,515.6,,,,,3
2020 / 06,Brooklyn,17,5294.7,392.5,607.7,,,,,3
2021 / 03,Brooklyn,17,4746.1,351.2,490.7,,,,,3
2020 / 08,Queens,06,3180.1,421.7,424.6,,,,,4
2021 / 01,Queens,06,2685.3,439.5,428.7,,,,9.3,4
2021 / 04,Brooklyn,08,643.9,86.4,81.5,,,,,3
2020 / 06,Bronx,01,2430.3,207.1,209.4,,,,,2
2020 / 05,Bronx,01,2225.8,150.9,159.2,0.4,,,,2
2020 / 02,Brooklyn,16,1796.4,94.7,146.8,18.0,,,,3
2020 / 01,Brooklyn,16,2022.3,125.5,188.0,23.7,,9.2,3.8,3
2021 / 03,Brooklyn,16,2427.7,123.6,196.8,,,,,3
2020 / 04,Bronx,02,1480.8,102.0,170.9,,,,,2
2020 / 10,Bronx,02,1736.9,157.1,199.5,,,,,2
2021 / 01,Bronx,02,1546.8,145.7,173.4,,,5.5,3.0,2
2020 / 12,Manhattan,07,4467.1,1168.4,844.0,,,,,1
2021 / 04,Manhattan,07,1016.8,274.3,176.5,,,,,1
2020 / 05,Manhattan,03,2674.8,292.0,346.9,,,,,1
2020 / 07,Manhattan,03,3056.7,380.5,394.2,,,,,1
2020 / 08,Manhattan,03,3037.6,345.7,332.7,,,,,1
2020 / 10,Manhattan,03,2911.0,413.2,359.6,,,,,1
2021 / 03,Manhattan,03,2870.2,363.5,322.4,,,,,1
2020 / 04,Manhattan,02,1259.9,316.3,308.2,,,,,1
2021 / 02,Manhattan,02,1656.5,386.4,282.3,,,,,1
2020 / 07,Manhattan,10,3011.6,326.4,325.3,,,,,1
2020 / 12,Manhattan,10,2843.8,368.7,322.5,,,13.5,,1
2021 / 04,Manhattan,10,610.4,66.5,64.4,,,,,1
2020 / 02,Bronx,04,3589.5,212.3,335.3,11.6,,,,2
2020 / 08,Brooklyn,01,5249.8,745.7,588.6,,,,,3
2020 / 03,Brooklyn,03,3943.5,392.5,408.3,,,,,3
2021 / 01,Brooklyn,03,4108.9,472.8,462.8,,,12.3,18.5,3
2020 / 11,Manhattan,12,4980.6,432.5,474.8,,,,,1
2021 / 01,Manhattan,05,1120.7,260.9,182.2,,,,13.6,1
2020 / 04,Manhattan,08,3609.6,856.8,790.8,10.8,,,,1
2020 / 08,Manhattan,08,4348.4,866.6,722.1,,,,,1
2020 / 07,Bronx,05,4120.4,331.8,435.4,,,,,2
2020 / 03,Bronx,05,3391.8,206.3,335.9,,,,,2
2020 / 07,Manhattan,06,2670.1,528.7,456.1,,,,,1
2020 / 10,Manhattan,06,2851.2,621.8,482.4,,,,,1
2020 / 11,Manhattan,06,2567.4,456.3,356.0,,,,,1
2021 / 03,Manhattan,06,2721.4,501.2,391.6,,,,,1
2021 / 01,Manhattan,06,2465.9,546.6,442.4,,,,30.6,1
2021 / 04,Manhattan,06,616.7,124.8,106.1,,,,,1
2020 / 05,Manhattan,11,2158.3,218.7,219.7,,,,,1
2020 / 12,Manhattan,11,2322.7,276.6,235.9,,,,,1
2021 / 02,Bronx,07,3300.6,294.4,429.7,,,,,2
2020 / 12,Manhattan,01,1252.2,401.5,268.2,,,,,1
2021 / 04,Manhattan,01,295.7,85.4,57.6,,,,,1
2020 / 06,Brooklyn,04,3813.0,373.0,501.8,,,,,3
2021 / 02,Brooklyn,04,2743.8,280.1,354.2,,,,,3
2021 / 04,Brooklyn,04,902.8,81.4,105.0,,,,,3
2021 / 02,Bronx,06,2064.4,164.3,192.2,,,,,2
2021 / 01,Bronx,06,2248.6,205.6,220.9,,,,4.6,2
2021 / 04,Bronx,06,574.9,51.2,56.6,,,,,2
2020 / 11,Queens,7A,,,,,,4.5,,
2020 / 10,Brooklyn,07,3555.0,456.1,450.2,,,,,3
2020 / 01,Brooklyn,07,3132.2,444.3,435.2,58.5,132.5,,28.2,3
2020 / 02,Staten Island,03,4510.2,632.0,579.9,,25.0,,,5
2021 / 03,Staten Island,03,6152.3,759.9,757.9,,,,,5
2020 / 07,Brooklyn,11,5762.9,655.5,710.2,,,,,3
2021 / 02,Brooklyn,11,4307.5,504.5,492.7,,,,,3
2020 / 03,Brooklyn,11,4793.8,591.6,550.8,42.7,,9.2,,3
2020 / 08,Brooklyn,11,5515.4,608.3,648.2,,,,,3
2020 / 09,Queens,05,5552.1,647.6,867.9,,,,,4
2020 / 03,Queens,05,4562.3,594.1,762.2,115.5,40.8,,,4
2020 / 05,Queens,05,5577.8,601.6,1009.0,8.4,,,,4
2020 / 10,Queens,05,5371.9,689.8,856.5,,,,,4
2020 / 08,Queens,05,5638.6,602.9,860.4,,,,,4
2020 / 01,Brooklyn,18,5060.7,591.8,644.6,,,,13.8,3
2020 / 01,Bronx,09,3664.2,237.0,365.6,,,,14.7,2
2020 / 02,Staten Island,01,4212.7,515.5,572.9,48.9,,,,5
2021 / 03,Staten Island,01,5945.5,640.8,788.3,,,,,5
2020 / 09,Bronx,10,2995.5,310.4,496.1,,,,,2
2020 / 03,Bronx,10,2277.1,291.5,412.8,59.1,,,,2
2020 / 12,Bronx,10,2779.9,403.7,474.4,,,,,2
2021 / 04,Bronx,10,626.4,90.5,112.9,,,,,2
2020 / 07,Queens,12,8575.7,628.8,1250.5,,,,,4
2021 / 03,Queens,12,7127.9,544.6,952.0,,,,,4
2020 / 04,Queens,12,6478.1,444.2,958.4,,,,,4
2021 / 04,Queens,12,1754.2,135.2,239.7,,,,,4
2020 / 07,Queens,01,4669.5,696.7,764.7,,,,,4
2020 / 09,Queens,01,4416.9,675.1,723.6,,,,,4
2021 / 02,Queens,01,3376.2,563.1,591.7,,,,,4
2021 / 01,Queens,01,3895.6,677.0,715.3,,,,29.0,4
2020 / 11,Brooklyn,15,4946.5,554.5,512.7,,,,,3
2021 / 01,Brooklyn,15,4402.3,578.3,550.1,,,,6.4,3
2020 / 12,Brooklyn,15,4869.0,685.1,602.6,,,,,3
2020 / 09,Queens,09,4600.2,428.0,748.1,,,,,4
2020 / 01,Brooklyn,05,4358.6,288.2,459.3,,,,4.6,3
2021 / 03,Brooklyn,05,5153.2,345.0,511.2,,,,,3
2020 / 01,Brooklyn,06,2081.9,611.8,473.8,115.5,52.1,,70.6,3
2020 / 01,Queens,03,4658.7,410.6,540.7,,,,29.5,4
2020 / 08,Queens,03,5808.5,427.5,635.4,,,,,4
2020 / 06,Bronx,12,4863.3,487.1,797.5,,,,,2
2020 / 02,Bronx,12,3081.5,302.5,502.5,104.3,,,,2
2020 / 09,Bronx,12,4504.0,434.2,684.9,,,,,2
2020 / 10,Bronx,12,4405.8,444.6,648.6,,,,,2
2020 / 03,Bronx,12,3480.0,351.9,562.9,115.4,,,,2
2021 / 04,Bronx,12,995.1,105.6,159.7,,,,,2
2020 / 09,Staten Island,02,4765.5,549.2,724.6,,,,,5
2021 / 04,Staten Island,02,1178.1,146.7,192.4,,,,,5
2020 / 01,Queens,07,6075.7,843.4,788.1,109.9,,,82.8,4
2020 / 09,Brooklyn,14,5222.1,491.0,497.3,,,,,3
2021 / 02,Brooklyn,14,4073.5,426.0,375.9,,,,,3
2021 / 01,Brooklyn,14,4636.0,512.2,479.7,,,,7.7,3
2020 / 03,Brooklyn,13,1915.1,190.5,227.6,18.0,,,,3
2020 / 12,Brooklyn,13,2218.2,217.5,240.5,,,,,3
2020 / 09,Queens,02,3434.5,475.1,465.3,,,,,4
2020 / 01,Queens,04,3990.8,383.7,487.1,,,,15.2,4
2020 / 10,Queens,04,4289.6,386.8,653.2,,,,,4
2020 / 08,Brooklyn,12,5601.7,606.4,389.4,,,,,3
2021 / 01,Brooklyn,12,6263.8,725.9,393.9,,,,4.7,3
2020 / 06,Queens,10,4817.9,442.3,814.7,,,,,4
2020 / 07,Queens,10,4804.9,428.4,773.2,,,,,4
2020 / 05,Queens,14,3537.2,285.6,370.7,8.4,,,,4
2020 / 08,Queens,14,3911.9,285.1,362.1,,,,,4
2020 / 12,Queens,14,3341.4,322.1,329.0,,,,,4
2020 / 07,Brooklyn,02,2663.6,502.2,478.1,,,,,3
2020 / 03,Bronx,11,2806.9,274.8,359.2,65.1,,,,2
2020 / 01,Bronx,11,2821.3,312.8,374.3,57.2,,,17.2,2
2021 / 04,Bronx,11,893.6,95.9,113.0,,,,,2
2020 / 06,Queens,11,3693.3,533.5,592.0,,,,,4
2020 / 10,Queens,11,3416.8,485.9,496.0,,,,,4
2020 / 01,Queens,11,2615.7,497.4,456.6,120.5,82.1,,35.0,4
2021 / 02,Queens,11,2211.1,370.1,369.8,,,,,4
2021 / 03,Queens,11,3105.6,469.0,481.4,,,,,4
2020 / 04,Queens,08,3384.3,430.1,468.7,71.7,,,,4
2020 / 09,Queens,08,4266.4,489.9,468.4,,,,,4
2020 / 05,Brooklyn,10,3591.3,489.8,532.6,4.4,,,,3
2020 / 11,Brooklyn,10,3767.8,486.7,471.0,,,,,3
2020 / 02,Brooklyn,10,2818.5,418.0,408.6,51.5,,14.5,,3
2021 / 02,Brooklyn,10,2841.6,418.8,434.0,,,,,3
2020 / 05,Queens,06,2924.6,412.3,442.4,,,,,4
2020 / 07,Queens,06,3249.2,465.8,459.0,,,,,4
2020 / 12,Queens,06,2966.4,523.1,467.1,,,,,4
2020 / 04,Queens,06,2609.8,390.7,452.9,,,,,4
2020 / 06,Bronx,08,2686.7,412.5,487.6,,,,,2
2020 / 07,Bronx,08,2663.6,377.2,443.8,,,,,2
2020 / 03,Bronx,08,2197.2,322.3,399.1,56.7,,,,2
2021 / 01,Bronx,08,2302.2,350.0,410.6,,,,10.8,2
2020 / 09,Brooklyn,08,2974.2,382.4,367.0,,,,,3
2020 / 03,Brooklyn,08,2539.6,317.9,322.1,,11.2,,,3
2020 / 04,Brooklyn,08,2396.8,286.2,324.9,,,,,3
2020 / 07,Bronx,01,2411.0,166.2,182.3,,,,,2
2020 / 08,Bronx,01,2430.6,164.8,182.7,,,,,2
2020 / 06,Brooklyn,16,2596.3,142.4,217.4,,,,,3
2020 / 03,Brooklyn,16,2027.0,93.8,151.8,18.2,,,,3
2020 / 11,Brooklyn,16,2382.1,112.0,185.7,,,,,3
2020 / 12,Brooklyn,16,2449.0,162.5,222.0,,,,,3
2020 / 02,Bronx,02,1346.8,92.5,138.4,,,,,2
2020 / 09,Bronx,02,1693.1,128.6,165.3,,,,,2
2020 / 02,Manhattan,07,4253.6,1017.3,758.6,36.2,37.1,,,1
2020 / 11,Manhattan,07,4425.6,953.8,728.4,,,,,1
2020 / 01,Manhattan,03,2857.0,381.9,365.6,,53.9,,20.0,1
2020 / 12,Manhattan,03,2773.5,389.9,354.4,,,,,1
2020 / 02,Manhattan,02,1717.3,412.4,310.0,,22.9,,,1
2020 / 01,Bronx,04,3877.7,236.8,388.0,14.6,,,6.2,2
2021 / 02,Bronx,04,3618.8,247.9,317.5,,,,,2
2020 / 07,Brooklyn,01,5147.7,755.8,663.2,,,,,3
2020 / 02,Brooklyn,01,5065.6,605.8,451.6,44.9,,11.5,,3
2020 / 12,Brooklyn,03,4404.9,561.3,503.1,,,,,3
2020 / 03,Manhattan,12,4534.5,421.5,502.1,36.4,26.7,,,1
2020 / 01,Manhattan,05,1285.2,298.7,201.0,,,,22.4,1
2020 / 04,Manhattan,05,900.2,198.8,176.8,,,,,1
2020 / 10,Manhattan,05,1269.2,298.9,186.5,,,,,1
2021 / 03,Manhattan,08,4723.2,1059.9,776.1,,,,,1
2020 / 12,Manhattan,08,4829.9,1259.0,871.1,,,,,1
2020 / 09,Manhattan,06,2793.8,515.8,391.2,,,,,1
2020 / 06,Manhattan,06,2637.9,426.8,387.5,,,,,1
2020 / 05,Manhattan,06,2345.4,454.8,442.6,3.6,,,,1
2020 / 06,Manhattan,09,2331.2,259.9,290.4,,,,,1
2020 / 10,Manhattan,09,2300.3,318.0,315.6,,,,,1
2021 / 02,Brooklyn,09,2610.5,236.5,229.6,,,,,3
2020 / 07,Manhattan,11,2457.2,252.1,230.8,,,,,1
2020 / 11,Manhattan,11,2195.4,209.5,189.4,,,,,1
2021 / 02,Manhattan,11,1920.2,198.2,180.9,,,,,1
2021 / 01,Manhattan,11,2204.5,222.1,208.7,,,,12.2,1
2020 / 07,Manhattan,04,2449.5,494.5,446.4,,,,,1
2021 / 03,Manhattan,04,2308.8,454.0,384.5,,,,,1
2020 / 04,Manhattan,01,924.0,266.3,241.2,13.9,,,,1
2020 / 07,Manhattan,01,1175.9,327.2,251.1,,,,,1
2020 / 03,Manhattan,01,1311.2,377.9,251.6,20.2,,,,1
2020 / 08,Brooklyn,04,3802.3,355.7,488.0,,,,,3
2020 / 12,Bronx,03,2281.5,225.5,259.8,,,,,2
2020 / 09,Bronx,06,2477.3,272.6,300.4,,,,,2
2020 / 12,Queens,7A,,,,,,7.5,,
2020 / 06,Brooklyn,07,3695.2,482.4,508.1,,,,,3
2021 / 04,Brooklyn,07,799.5,104.2,108.9,,,,,3
2020 / 06,Staten Island,03,7161.8,857.2,980.5,,,,,5
2020 / 04,Staten Island,03,6130.2,812.2,905.4,,,,,5
2020 / 05,Brooklyn,11,5251.3,607.5,614.6,3.1,,,,3
2021 / 04,Brooklyn,11,1371.0,152.3,158.4,,,,,3
2020 / 07,Queens,05,5568.4,648.2,1045.9,,,,,4
2020 / 06,Brooklyn,18,6653.2,662.1,842.6,,,,,3
2020 / 03,Brooklyn,18,4845.4,526.4,609.2,,,,,3
2020 / 02,Queens,13,4030.4,346.9,719.6,127.2,,,,4
2020 / 08,Queens,13,6938.3,540.5,1016.6,,,,,4
2020 / 10,Bronx,09,4119.7,296.4,446.5,,,,,2
2021 / 01,Bronx,09,3688.7,271.7,410.4,,,,9.8,2
2020 / 12,Bronx,09,3935.6,315.2,458.2,,,,,2
2020 / 07,Staten Island,01,6389.2,704.0,986.8,,,,,5
2020 / 10,Staten Island,01,6093.6,646.1,884.2,,,,,5
2021 / 04,Staten Island,01,1511.3,185.0,217.0,,,,,5
2020 / 11,Bronx,10,2911.9,293.7,402.2,,,,,2
2021 / 03,Bronx,10,2779.9,323.4,413.2,,,,,2
2021 / 02,Bronx,10,2039.4,267.2,344.3,,,,,2
2020 / 10,Queens,12,7619.4,583.4,1016.4,,,,,4
2020 / 03,Brooklyn,15,4318.7,587.3,535.1,49.0,,,,3
2020 / 06,Brooklyn,15,4932.7,598.7,627.6,,,,,3
2020 / 02,Brooklyn,15,3924.1,508.9,443.7,51.6,,,,3
2021 / 03,Brooklyn,15,4853.7,587.0,575.5,,,,,3
2021 / 02,Brooklyn,15,3847.7,484.2,456.6,,,,,3
2020 / 05,Queens,09,4571.6,436.0,679.9,11.4,,,,4
2021 / 02,Queens,09,3179.8,345.9,493.1,,,,,4
2021 / 01,Queens,09,3794.8,445.9,625.0,,,,22.5,4
2020 / 09,Brooklyn,05,5488.9,334.7,546.5,,,,,3
2021 / 02,Brooklyn,06,1827.9,491.2,390.2,,,,,3
2020 / 03,Brooklyn,06,1999.5,555.9,453.8,115.2,27.7,,,3
2020 / 02,Queens,03,4172.5,315.1,435.8,,,,,4
2020 / 07,Queens,03,6005.3,487.1,712.3,,,,,4
2020 / 07,Staten Island,02,4921.8,602.7,789.1,,,,,5
2020 / 06,Staten Island,02,5191.9,613.6,830.1,,,,,5
2020 / 03,Staten Island,02,4014.9,545.9,534.3,,20.4,,,5
2020 / 12,Staten Island,02,4435.9,733.9,653.6,,,3.4,,5
2021 / 04,Brooklyn,14,1199.5,118.9,115.0,,,,,3
2020 / 11,Queens,02,3195.6,428.7,422.5,,,,,4
2020 / 05,Queens,04,4287.1,356.5,536.6,,,,,4
2020 / 02,Queens,04,3553.1,284.3,384.5,,,,,4
2020 / 01,Brooklyn,12,6084.9,693.1,454.2,40.6,107.2,,7.3,3
2021 / 03,Brooklyn,12,6957.9,739.4,432.8,,,,,3
2020 / 01,Queens,10,3409.9,386.4,506.1,56.1,,,59.0,4
2020 / 07,Queens,14,3850.1,319.2,399.6,,,,,4
2020 / 03,Queens,14,2763.7,248.9,266.3,69.5,,,,4
2021 / 03,Queens,14,3227.1,257.6,296.9,,,,,4
2021 / 02,Queens,14,2480.8,211.7,211.8,,,,,4
2020 / 09,Brooklyn,02,2752.9,556.9,455.2,,,,,3
2020 / 08,Brooklyn,02,2676.6,484.3,445.4,,,,,3
2020 / 03,Brooklyn,02,2372.5,514.1,440.0,79.7,19.8,,,3
2020 / 02,Bronx,11,2523.2,238.7,326.0,45.6,,,,2
2020 / 04,Bronx,11,2906.4,278.0,420.6,66.0,,,,2
2021 / 01,Brooklyn,10,3350.3,510.8,532.5,,,,22.4,3
2020 / 03,Brooklyn,10,3143.7,494.2,493.8,66.2,,,,3
2020 / 12,Brooklyn,10,3688.1,617.9,578.3,,,,,3
2020 / 02,Brooklyn,17,3646.5,258.6,382.4,,,,,3
2020 / 01,Queens,06,2749.6,459.8,414.8,,80.3,,6.4,4
2020 / 08,Bronx,08,2639.6,351.9,419.7,,,,,2
2021 / 03,Bronx,08,2505.0,362.3,427.6,,,,,2
2021 / 02,Bronx,08,2027.3,299.2,360.3,,,,,2
2021 / 03,Brooklyn,08,2915.0,382.6,364.8,,,,,3
2020 / 01,Brooklyn,08,2583.3,306.6,303.5,,15.7,,21.5,3
2020 / 04,Bronx,01,1923.2,105.3,139.6,3.4,,,,2
2021 / 02,Bronx,01,1904.4,132.1,130.8,,,,,2
2020 / 05,Brooklyn,16,2325.3,142.4,220.4,4.1,,,,3
2021 / 01,Brooklyn,16,2187.4,143.6,217.4,,,,0.5,3
2021 / 04,Brooklyn,16,566.2,29.7,44.5,,,,,3
2020 / 05,Bronx,02,1689.7,143.6,194.6,,,,,2
2020 / 12,Bronx,02,1723.3,163.0,188.1,,,4.5,,2
